,bitcount,blowfish,bzip2,crc32,dijkstra,gsm,jpeg-c,jpeg-d,patricia,qsort,sha,stringsearch,stringsearch2,susan,tiff2bw,tiff2rgba,tiffdither,tiffmedian
84,524313125,745768,192716227,4396745,262076,53133265,13583590,3639293,512181,140603388,403802,419854,9376646,41988592,5365325,12395390,4346391,7081553
85,525438145,745768,202984098,4396745,262076,53133265,13611211,3671954,512181,140447127,403806,420594,9376646,41988584,5365317,12395378,4346391,7081542
86,525438145,745768,202984094,4396745,262076,53133265,13611211,3671141,512181,140447127,403806,420594,9376646,41988584,5365324,12395382,4346384,7081538
87,525438145,745768,202984094,4396745,262076,53133265,13611211,3671141,512181,140447127,403806,420594,9376646,41988584,5365324,12395382,4346384,7081538
88,525438145,745768,202984094,4396745,262076,53133265,13611211,3671141,512181,140447127,403806,420594,9376646,41988584,5365324,12395382,4346384,7081538
89,525438145,745768,202984094,4396745,262076,53133265,13611211,3671141,512181,140447127,403806,420594,9376646,41988584,5365324,12395382,4346384,7081538
90,525438145,745768,202984094,4396745,262076,53133265,13611217,3671151,512181,140447127,403806,420594,9376646,41988584,5365313,12395382,4346409,7081538
91,525438145,745768,202984094,4396745,262076,53133265,13611217,3671151,512181,140447127,403806,420594,9376646,41988584,5365313,12395382,4346409,7081538
92,525438145,745768,202984094,4396745,262076,53133265,13611217,3671151,512181,140447127,403806,420594,9376646,41988584,5365313,12395382,4346409,7081538
93,525438145,745768,202984094,4396745,262076,53133265,13611217,3671151,512181,140447127,403806,420594,9376646,41988584,5365313,12395382,4346409,7081538
94,524313125,745768,192716385,4396745,262076,53133265,13583593,3638507,512181,140603388,403802,419854,9376646,41988592,5365329,12395390,4346380,7081553
95,524313125,745768,192716385,4396745,262076,53133265,13583589,3638499,512181,140603388,403802,419854,9376646,41988592,5365329,12395390,4346380,7081553
96,524313125,745768,192716385,4396745,262076,53133265,13583589,3638499,512192,140603388,403802,419854,9376646,41988592,5365329,12395390,4346380,7081553
